PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Kowalczyk, R; Kowalczyk, N; Dombrowski, P; Gorecki, K; Kolasa, S; Miazek, R; Sacharewicz, P; Talalaj, P; Borowik, T				Kowalczyk, Rafal; Kowalczyk, Natalia; Dombrowski, Piotr; Gorecki, Krzysztof; Kolasa, Szymon; Miazek, Radoslaw; Sacharewicz, Patryk; Talalaj, Piotr; Borowik, Tomasz			Using public-sourced photos to track changes in moose antler size during a 20-year hunting ban	EUROPEAN JOURNAL OF WILDLIFE RESEARCH												Hunting directly impacts the population dynamics of ungulates and can have a significant effect on the quality of phenotypic traits such as horns or antlers. In Poland, following a demographic collapse in the 1990s and the introduction of a hunting ban in 2001, the population of moose (Alces alces) has increased from 1,800 to over 20,000 individuals, recolonising its former range. As the moose is a charismatic species and a popular subject for nature photography, we analysed changes in antler size and shape in this cervid between 2005 and 2021 based on photos of male moose and antler casts provided by photographers or available in social media. Our findings indicate that during the hunting ban, the probability of observing the cervina antler type significantly decreased over time, from 47% in 2012 to 28% in 2021. Meanwhile, the probability of observing the intermediate and palmate antler types significantly increased from 44 to 53% and from 9 to 19%, respectively. The mean number of tines significantly increased from 3.2 in 2005 to 4.7 in 2021, and the antler size index significantly increased from 3.4 to 3.9. The most likely mechanism behind the observed changes could be the ageing of a population released from hunting pressure. We also observed regional variation in antler size, which is likely related to differences in environmental conditions. Our study serves as an example of how passive citizen science can contribute to our understanding of ecological trends and the quantification of population patterns. It also has important implications for management of species affected by trophy hunting.					Borowik, Tomasz/W-4008-2018	Borowik, Tomasz/0000-0003-0321-8200; Kowalczyk, Natalia/0009-0002-6528-5425; Kowalczyk, Rafał/0000-0001-7264-2158													1612-4642	1439-0574				JUN	2024	70	3							56	10.1007/s10344-024-01811-5	http://dx.doi.org/10.1007/s10344-024-01811-5													WOS:001224109500001
J	Mysterud, A; Tryjanowski, P; Panek, M				Mysterud, Atle; Tryjanowski, Piotr; Panek, Marek			Selectivity of harvesting differs between local and foreign roe deer hunters: trophy stalkers have the first shot at the right place	BIOLOGY LETTERS												Harvesting represents a major source of mortality in many deer populations. The extent to which harvesting is selective for specific traits is important in order to understand contemporary evolutionary processes. In addition, since such data are frequently used in life-history studies, it is important to know the pattern of selectivity as a source of bias. Recently, it was demonstrated that different hunting methods were selected for different weights in red deer (Cervus elaphus), but little insight was offered into why this occurs. In this study, we show that foreign trophy stalkers select for larger antlers when hunting roe deer (Capreolus capreolus) than local hunters, but that close to half of the difference in selectivity was due to foreigners hunting earlier in the season and in locations with larger males. The relationship between antler size and age was nevertheless fairly similar based on whether deer was shot by foreign or local hunters.					Tryjanowski, Piotr/C-1367-2009; Mysterud, Atle/AFL-1958-2022; Panek, Marek/A-2599-2014	Mysterud, Atle/0000-0001-8993-7382; 													1744-9561					DEC 22	2006	2	4					632	635		10.1098/rsbl.2006.0533	http://dx.doi.org/10.1098/rsbl.2006.0533								17148307					WOS:000242686500041
J	Kavcic, K; Corlatti, L; Safner, T; Gligora, I; Sprem, N				Kavcic, Kresimir; Corlatti, Luca; Safner, Toni; Gligora, Ivan; Sprem, Nikica			Density-dependent decline of early horn growth in European mouflon	MAMMALIAN BIOLOGY												The development of horns in Caprinae can be largely influenced by food-limiting factors such as population density and climate, as well as by negative evolutionary responses to size-selective harvesting. In this study, we investigated the effects of population density, environmental covariates and trophy hunting on horn development in a population of European mouflon Ovis aries musimon introduced to the Mediterranean region of Croatia in the early 1980s. The study population was subject to commercial trophy hunting on males since the mid-1980s. This allowed to analyse the temporal trend in early horn growth in 341 rams legally culled. Cohort-based linear model and analysis of deviance (ANODEV) revealed a significant negative trend in early horn growth, with a decline of ca. 10% over only 15 cohorts (1993-2007). The increase in population density (by ca. 600%) and summer temperature, selected via LASSO regression, explained about 61% and 13% of the decline in early horn growth, as revealed by the ANODEV R-2. Our results suggest a prominent role of food-limiting factors in the decline of weapon size. We also found a negative relationship between age at death and early horn growth in our study population, which suggests the occurrence of hunters' selectivity towards large horns. The effect of trophy hunting on the decline in horn size, however, is difficult to quantify. Our analysis was largely influenced by the rapid increase of mouflon density after introduction, thereby limiting the possibility to detect potential effects of hunting selection, although the large number of rams shot before 5 years of age may possibly lead to undesirable consequences of trophy hunting on mating success. To clarify the consequences of commercial trophy hunting on the mouflon population, the long-term pattern of horn growth and the age-dependent male siring success should be further investigated. (C) 2019 Deutsche Gesellschaft fur Saugetierkunde. Published by Elsevier GmbH. All rights reserved.					Safner, Toni/HTM-5223-2023; Corlatti, Luca/AAP-1047-2021; Šprem, Nikica/K-1003-2019	Safner, Toni/0000-0001-8645-5273; Corlatti, Luca/0000-0002-2706-3875; 													1616-5047	1618-1476				NOV	2019	99						37	41		10.1016/j.mambio.2019.10.001	http://dx.doi.org/10.1016/j.mambio.2019.10.001													WOS:000500506000005
J	Waltert, M; Meyer, B; Kiffner, C				Waltert, Matthias; Meyer, Britta; Kiffner, Christian			Habitat availability, hunting or poaching: what affects distribution and density of large mammals in western Tanzanian woodlands?	AFRICAN JOURNAL OF ECOLOGY												Game reserves (GR) in Tanzania have been found to support similar or lower densities of large mammals compared with National parks (NP). But as these areas usually differ considerably not only in regard to management but also to environmental factors, we assessed the relative importance of vegetation cover, species-specific habitat preferences and legal (trophy hunting) and illegal off-take for observed differences in species-specific densities. In the Katavi ecosystem, open habitats were characteristic elements of Katavi NP, while Rukwa GR was dominated by miombo forest. In an inter-specific comparison, density differences were moderately correlated with preferences for open habitats, and with estimates of combined legal and illegal off-take but not with one of these separately. In a multiple linear regression, open habitat preference was found to explain 39.6% of the density differences between the two protected areas. This analysis suggests that the broad-scale pattern of most species' distributions is governed by differing vegetation cover but that several species are overexploited by illegal (elephant, giraffe, buffalo, bush pig, warthog) or combined off-take (hippopotamus, eland, waterbuck), thus emphasizing the need for quota readjustments and a more efficient anti-poaching control.					Kiffner, Christian/F-4088-2012; Waltert, Matthias/E-9134-2010	Kiffner, Christian/0000-0002-7475-9023; Waltert, Matthias/0000-0001-7053-0291													0141-6707	1365-2028				DEC	2009	47	4					737	746		10.1111/j.1365-2028.2009.01080.x	http://dx.doi.org/10.1111/j.1365-2028.2009.01080.x													WOS:000271758600035
J	Hedrick, PW				Hedrick, Philip W.			Rapid Decrease in Horn Size of Bighorn Sheep: Environmental Decline, Inbreeding Depression, or Evolutionary Response to Trophy Hunting?	JOURNAL OF HEREDITY												There are numerous examples demonstrating that selection has greatly influenced phenotypes in wild-harvested species. Here, a significant reduction in horn size in trophy desert bighorn sheep rams over 30 years in a reintroduced population in Aravaipa Canyon, Arizona is documented. After examining the potential effects of a detrimental change in the environment, inbreeding depression, and hunter-caused evolutionary change, it appears that environmental deterioration, apparently from the effects of drought, may be a major cause of the decline in horn size. In particular, the reduction in ram horn size is positively associated with reduced winter lifetime rainfall over the 3 decades. Over the same period, the demographic indicator lamb-to-ewe ratio has also declined in the Aravaipa population. On the other hand, lamb-to-ewe ratio has not declined statewide in Arizona, and the population size in Aravaipa appears to be increasing, suggesting local- and trait-specific effects. Using a theoretical context, neither inbreeding depression nor hunter selection by themselves appear to the sole causes of the lower horn size. However, some combination of environmental factors, inbreeding depression, and hunter selection may have caused the decrease in observed horn size. It is not clear what management actions might be successful in countering the environmental effects on horn size, but supplemental feeding and cattle removal are suggested while translocation is suggested to counter the effects of inbreeding depression and reduced hunting and translocation are suggested to counter the effects of hunter selection.																			0022-1503	1465-7333				NOV-DEC	2011	102	6					770	781		10.1093/jhered/esr082	http://dx.doi.org/10.1093/jhered/esr082								21900210					WOS:000296100900015
J	Grzegorczyk, E; Bézier, L; Le-Rest, K; Caizergues, A; Francesiaz, C; Champagnon, J; Guillemain, M; Eraud, C				Grzegorczyk, Emilienne; Bezier, Lea; Le-Rest, Kevin; Caizergues, Alain; Francesiaz, Charlotte; Champagnon, Jocelyn; Guillemain, Matthieu; Eraud, Cyril			Is hunting nonintentionally selective? A test using game bird capture-dead recoveries	ECOLOGY AND EVOLUTION												Selective hunting has various impacts that need to be considered for the conservation and management of harvested populations. The consequences of selective harvest have mostly been studied in trophy hunting and fishing, where selection of specific phenotypes is intentional. Recent studies, however, show that selection can also occur unintentionally. With at least 52 million birds harvested each year in Europe, it is particularly relevant to evaluate the selectivity of hunting on this taxon. Here, we considered 211,806 individuals belonging to 7 hunted bird species to study unintentional selectivity in harvest. Using linear mixed models, we compared morphological traits (mass, wing, and tarsus size) and body condition at the time of banding between birds that were subsequently recovered from hunting during the same year as their banding, and birds that were not recovered. We did not find any patterns showing systematic differences between recovery categories, among our model species, for the traits we studied. Moreover, when a difference existed between recovery categories, it was so small that its biological relevance can be challenged. Hunting of birds in Europe therefore does not show any form of strong selectivity on the morphological and physiological traits that we studied and should hence not lead to any change of these traits either by plastic or by evolutionary response.					Champagnon, Jocelyn/AAM-4028-2020	Champagnon, Jocelyn/0000-0003-4850-8033; Grzegorczyk, Emilienne/0000-0002-6122-9891													2045-7758					SEP	2022	12	9							e9285	10.1002/ece3.9285	http://dx.doi.org/10.1002/ece3.9285								36188522					WOS:000857892900001
J	Allen, ML; Roberts, NM; Van Deelen, TR				Allen, Maximilian L.; Roberts, Nathan M.; Van Deelen, Timothy R.			Hunter selection for larger and older male bobcats affects annual harvest demography	ROYAL SOCIETY OPEN SCIENCE												Wildlife researchers often rely on demographic data collected from harvested animals to estimate population dynamics. But demographic data from harvested animals may be nonrepresentative if hunters/trappers have the ability and motivation to preferentially select for certain physical traits. Hunter preference is well demonstrated for ungulates, but less so for other wildlife species such as furbearers. We used data from bobcats harvested in Wisconsin (1983-2014) to determine if harvest method and demographics (mass, male:female sex ratio and age) have changed over time, and if bobcat hunters/trappers exhibited selection. Each trait of harvested bobcats that we tested changed over time, and because these selected traits were interrelated, we inferred that harvest selection for larger size biased harvests in favour of older, male bobcats. The selection of older, male bobcats appears primarily driven by hound hunters (hereafter hunters) compared to trappers, with hunters more frequently creating taxidermy mounts from their harvested bobcats. We found an increase in the proportion of bobcats that were harvested by hunting compared to trapping over time, and this was associated with increased selectivity and substantial changes in the characteristics of harvested bobcats. Selection by hunters may bias population models that are based on the demography of harvested bobcats, and accounting for biases that may occur, including from different harvest methods, is critical when using harvest-dependent data.					; Allen, Maximilian/ABG-9307-2020; VANDEELEN, TIMOTHY/KWU-1140-2024	Roberts, Nathan/0000-0001-6965-9637; Allen, Maximilian/0000-0001-8976-889X; 													2054-5703					OCT	2018	5	10							180668	10.1098/rsos.180668	http://dx.doi.org/10.1098/rsos.180668								30473820					WOS:000451073300026
J	Atickem, A; Loe, LE; Langangen, O; Rueness, EK; Bekele, A; Stenseth, NC				Atickem, A.; Loe, L. E.; Langangen, O.; Rueness, E. K.; Bekele, A.; Stenseth, N. C.			Estimating population size and habitat suitability for mountain nyala in areas with different protection status	ANIMAL CONSERVATION												Many species of large herbivores are declining in numbers as a consequence of direct exploitation or habitat loss. In the Ethiopian highlands, rapid human population growth has resulted in an expansion of human settlements and farmland, threatening many endemic species such as the mountain nyala Tragelaphus buxtoni. Despite being listed as an endangered species, the mountain nyala is still the most important trophy hunting species in Ethiopia. We counted faecal pellets of mountain nyala within plots distributed along transects to estimate population size and identify key environmental variables associated with the presence of faecal pellet groups. The total mountain nyala population was estimated at 3756 (95% confidence intervals: 2506-7135) individuals, mainly occupying woodlands while avoiding human developments (agriculture and settlements). The total suitable area was estimated at 8333km(2). Only 31.6% of the total population lived within a national park, while 53.5% of the population inhabited two controlled hunting areas in the eastern mountains. Abundance was 3.7 times higher in areas patrolled by wardens, regardless of being in a national park or hunting area, suggesting that formal protection must be followed by surveillance to avoid poaching and habitat destruction. We found no negative correlation between pellet abundance and trophy hunting. Yet, it is too early to conclude that trophy hunting is sustainable as it has only recently been initiated in the studied populations.					Loe, Leif Egil/M-5798-2016; Stenseth, Nils Christian/G-5212-2016	Loe, Leif Egil/0000-0003-4804-2253; Stenseth, Nils Christian/0000-0002-1591-5399													1367-9430	1469-1795				AUG	2011	14	4					409	418		10.1111/j.1469-1795.2011.00437.x	http://dx.doi.org/10.1111/j.1469-1795.2011.00437.x													WOS:000293173900014
J	Mysterud, A				Mysterud, Atle			Selective harvesting of large mammals: how often does it result in directional selection?	JOURNAL OF APPLIED ECOLOGY												1. Harvesting of large mammals is usually not random, and directional selection has been identified as the main cause of rapid evolution. However, selective harvesting in meat and recreational hunting cultures does not automatically imply directional selection for trait size. 2. Harvesting selectivity is more than a matter of hunter preference. Selection is influenced by management regulations, hunting methods, animal trait variance, behaviour and abundance. Most studies of hunter selection only report age-or sex-specific selection, or differences in trait size selection among hunting methods or groups of hunters, rather than trait size relative to the age-specific means required for directional selection. 3. Synthesis and applications. Managers aiming to avoid rapid evolution should not only consider directional selection and trophy hunting but also mitigate other important evolutionary forces such as harvesting intensity per se, and sexual selection processes that are affected by skewed sex ratios and age structures.					Mysterud, Atle/AFL-1958-2022	Mysterud, Atle/0000-0001-8993-7382													0021-8901	1365-2664				AUG	2011	48	4					827	834		10.1111/j.1365-2664.2011.02006.x	http://dx.doi.org/10.1111/j.1365-2664.2011.02006.x													WOS:000292331100002
J	Aryal, A; Panthi, S; Barraclough, RK; Bencini, R; Adhikari, B; Ji, WH; Raubenheimer, D				Aryal, Achyut; Panthi, Saroj; Barraclough, Rosemary K.; Bencini, Roberta; Adhikari, Bikash; Ji, Weihong; Raubenheimer, David			Habitat selection and feeding ecology of dhole (Cuon alpinus) in the Himalayas	JOURNAL OF MAMMALOGY												The Asiatic wild dog or dhole (Cuon alpinus) is an endangered, yet little-studied, species throughout its range in Nepal. We examined habitat selection and diet of the dholes by searching for dholes in the Dhorpatan Hunting Reserve (DHR), the only hunting reserve in Nepal, and developed a habitat selection model to determine their habitat preferences. We also collected anecdotal data on depredation events and attitudes toward the dholes from 89 local people. We collected each dhole scat encountered and conducted dietary analysis to calculate the percent frequency of occurrence of each prey item and to estimate the biomass consumed by dholes in the study area. The dholes used most habitat types and targeted a wide range of prey species and sizes, but avoided barren land, Juniperus spp.-and Abies spp.-dominated forests, and habitat under anthropogenic pressure. Eighty percent of the dhole's diet was represented by wild prey species; blue sheep (Pseudois nayaur) comprised 13.9% and livestock comprised 20% of the diet. The consumption of livestock has led to a negative attitude of local people toward dhole conservation. As blue sheep are the main trophy hunting species of the DHR, there is also the potential for competition between hunters and dhole, and other predators, for blue sheep. Our habitat selection model will be useful for estimating the probability of occurrence of this species within similar regions. These findings provide baseline information for authorities responsible for preparing conservation action plans for this species and managing the co-existence of humans and dholes within the reserve.					Aryal, Achyut/A-8330-2013; Bencini, Roberta/A-1426-2013; Barraclough, Rosemary/OJT-9022-2025	Aryal, Achyut/0000-0001-6658-8714; Raubenheimer, David/0000-0001-9050-1447; Bencini, Roberta/0000-0002-6927-5198; Bhusal, Tara/0009-0005-2260-6622; 													0022-2372	1545-1542				FEB	2015	96	1					47	53		10.1093/jmammal/gyu001	http://dx.doi.org/10.1093/jmammal/gyu001													WOS:000353334300007
J	Sarno, RJ; Grigione, MM; Higa, A; Childers, E; Ecoffey, T				Sarno, Ronald J.; Grigione, Melissa M.; Higa, Alessandra; Childers, Eddie; Ecoffey, Trudy			The association between continual, year-round hunting and bellowing rate of bison bulls during the rut	PEERJ												The impact of hunting (selective harvest, trophy hunting) on the demography of mammals is well documented. However, despite continual year-round hunting of bison in some populations, little is known about how the behavior of survivors may be altered. Therefore, in this initial study, we used focal-animal observations in adjacent populations of continually hunted and protected Plains bison (Bisonbisonbison) in western South Dakota, to examine the potential impact of hunting on bellowing rate-an important behavior that serves to intimidate rival bulls and potentially influences mate choice by females. In addition to hunting, we investigated how the number of attendant males, number of adult females, group size, and number of days from the start of rut influenced bellowing rate. Bulls bellowed an order of magnitude more often in the protected population than in the hunted populations, whereas bellowing rate was not significantly different in the hunted populations. Hunting was significantly and negatively associated with bellowing rate, while all other predictors were found to be positively associated with bellowing rate. Furthermore, the impact of hunting on bellowing rate became more pronounced (i.e., dampened bellowing rate more strongly) as the number of attendant males increased. Changes in bellowing behavior of bulls (and possibly mate choice by cows) can alter breeding opportunities. Therefore, our data suggest the need for studies with broader-scale geographical and temporal replication to determine the extent that continual year-round hunting has on bellowing rate of bison during the rut. If reduced bellowing is associated with human hunting on a larger scale, then wildlife managers may need to adjust hunting rate and duration, timing (season), and the time lag between hunting events in order to insure that bison are able to express their full repertoire of natural mating behaviors.																			2167-8359					APR 6	2017	5								e3153	10.7717/peerj.3153	http://dx.doi.org/10.7717/peerj.3153								28396826					WOS:000398662600004
J	Martínez, M; Rodríguez-Vigal, C; Jones, OR; Coulson, T; San Miguel, A				Martínez, M; Rodríguez-Vigal, C; Jones, OR; Coulson, T; San Miguel, A			Different hunting strategies select for different weights in red deer	BIOLOGY LETTERS												Much insight can be derived from records of shot animals. Most researchers using such data assume that their data represents a random sample of a particular demographic class. However, hunters typically select a non-random subset of the population and hunting is, therefore, not a random process. Here, with red deer (Cervus elaphus) hunting data from a ranch in Toledo, Spain, we demonstrate that data collection methods have a significant influence upon the apparent relationship between age and weight. We argue that a failure to correct for such methodological bias may have significant consequences for the interpretation of analyses involving weight or correlated traits such as breeding success, and urge researchers to explore methods to identify and correct for such bias in their data.					Martinez-Jauregui, María/B-3339-2011; Jones, Owen/B-8439-2008; Coulson, Tim/AAL-8148-2021	Martinez-Jauregui, María/0000-0002-7590-822X; Jones, Owen/0000-0001-5720-4686; Coulson, Tim/0000-0001-9371-9003													1744-9561	1744-957X				SEP 22	2005	1	3					353	356		10.1098/rsbl.2005.0330	http://dx.doi.org/10.1098/rsbl.2005.0330								17148205					WOS:000232170300027
J	Chen, RS; Soulsbury, CD; Lebigre, C; Ludwig, G; van Oers, K; Hoffman, JI				Chen, Rebecca S.; Soulsbury, Carl D.; Lebigre, Christophe; Ludwig, Gilbert; van Oers, Kees; Hoffman, Joseph I.			Effects of hunting on genetic diversity, inbreeding and dispersal in Finnish black grouse (Lyrurus tetrix)	EVOLUTIONARY APPLICATIONS												Intensive hunting activities such as commercial fishing and trophy hunting can have profound influences on natural populations. However, less intensive recreational hunting can also have subtle effects on animal behaviour, habitat use and movement, with implications for population persistence. Lekking species such as the black grouse (Lyrurus tetrix) may be especially prone to hunting as leks are temporally and spatially predictable, making them easy targets. Furthermore, inbreeding in black grouse is mainly avoided through female-biased dispersal, so any disruptions to dispersal caused by hunting could lead to changes in gene flow, increasing the risk of inbreeding. We therefore investigated the impact of hunting on genetic diversity, inbreeding and dispersal on a metapopulation of black grouse in Central Finland. We genotyped 1065 adult males and 813 adult females from twelve lekking sites (six hunted, six unhunted) and 200 unrelated chicks from seven sites (two hunted, five unhunted) at up to thirteen microsatellite loci. Our initial confirmatory analysis of sex-specific fine-scale population structure revealed little genetic structure in the metapopulation. Levels of inbreeding did not differ significantly between hunted and unhunted sites in neither adults nor chicks. However, immigration rates into hunted sites were significantly higher among adults compared to immigration into unhunted sites. We conclude that the influx of migrants into hunted sites may compensate for the loss of harvested individuals, thereby increasing gene flow and mitigating inbreeding. Given the absence of any obvious barriers to gene flow in Central Finland, a spatially heterogeneous matrix of hunted and unhunted regions may be crucial to ensure sustainable harvests into the future.					van Oers, Kees/B-2562-2009; Lebigre, Christophe/JAC-8468-2023; Soulsbury, Carl/F-3137-2010; Hoffman, Joseph/K-7725-2012; Chen, Rebecca Shuhua/KBB-0523-2024	van Oers, Kees/0000-0001-6984-906X; Lebigre, Christophe/0000-0001-6119-2534; Soulsbury, Carl/0000-0001-8808-5210; Hoffman, Joseph/0000-0001-5895-8949; Chen, Rebecca Shuhua/0000-0002-9364-3771													1752-4571					MAR	2023	16	3					625	637		10.1111/eva.13521	http://dx.doi.org/10.1111/eva.13521		DEC 2022						36969146					WOS:000903890800001
J	Traill, LW; Schindler, S; Coulson, T				Traill, Lochran W.; Schindler, Susanne; Coulson, Tim			Demography, not inheritance, drives phenotypic change in hunted bighorn sheep	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA												Selective harvest, such as trophy hunting, can shift the distribution of a quantitative character such as body size. If the targeted character is heritable, then there will be an evolutionary response to selection, and where the trait is not, then any response will be plastic or demographic. Identifying the relative contributions of these different mechanisms is a major challenge in wildlife conservation. New mathematical approaches can provide insight not previously available. Here we develop a size- and age-based two-sex integral projection model based on individual-based data from a long-term study of hunted bighorn sheep (Ovis canadensis) at Ram Mountain, Canada. We simulate the effect of trophy hunting on body size and find that the inheritance of body mass is weak and that any perceived decline in body mass of the bighorn population is largely attributable to demographic change and environmental factors. To our knowledge, this work provides the first use of two-sex integral projection models to investigate the potential eco-evolutionary consequences of selective harvest.					Coulson, Tim/AAL-8148-2021; Traill, Lochran W/J-8459-2012	Coulson, Tim/0000-0001-9371-9003; Schindler, Susanne/0000-0001-7787-7642; Traill, Lochran W/0000-0001-5704-108X													0027-8424	1091-6490				SEP 9	2014	111	36					13223	13228		10.1073/pnas.1407508111	http://dx.doi.org/10.1073/pnas.1407508111								25114219					WOS:000341625600059
J	Pelletier, F; Festa-Bianchet, M; Jorgenson, JT				Pelletier, Fanie; Festa-Bianchet, Marco; Jorgenson, Jon T.			Data from selective harvests underestimate temporal trends in quantitative traits	BIOLOGY LETTERS												Human harvests can select against phenotypes favoured by natural selection, and natural resource managers should evaluate possible artificial selection on wild populations. Because the required genetic data are extremely difficult to gather, however, managers typically rely on harvested animals to document temporal trends. It is usually unknown whether these data are unbiased. We explore our ability to detect a decline in horn size of bighorn sheep (Ovis canadensis) by comparing harvested males with all males in a population where evolutionary changes owing to trophy hunting were previously reported. Hunting records underestimated the temporal decline, partly because of an increasing proportion of rams that could not be harvested because their horns were smaller than the threshold set by hunting regulations. If harvests are selective, temporal trends measured from harvest records will underestimate the magnitude of changes in wild populations.					Festa-Bianchet, Marco/AER-0364-2022	Festa-Bianchet, Marco/0000-0002-2352-3379; Pelletier, Fanie/0000-0002-0113-5412													1744-9561	1744-957X				OCT 23	2012	8	5					878	881		10.1098/rsbl.2011.1207	http://dx.doi.org/10.1098/rsbl.2011.1207								22552634					WOS:000308789200052
J	Pigeon, G; Festa-Bianchet, M; Coltman, DW; Pelletier, F				Pigeon, Gabriel; Festa-Bianchet, Marco; Coltman, David W.; Pelletier, Fanie			Intense selective hunting leads to artificial evolution in horn size	EVOLUTIONARY APPLICATIONS												The potential for selective harvests to induce rapid evolutionary change is an important question for conservation and evolutionary biology, with numerous biological, social and economic implications. We analyze 39 years of phenotypic data on horn size in bighorn sheep (Ovis canadensis) subject to intense trophy hunting for 23 years, after which harvests nearly ceased. Our analyses revealed a significant decline in genetic value for horn length of rams, consistent with an evolutionary response to artificial selection on this trait. The probability that the observed change in male horn length was due solely to drift is 9.9%. Female horn length and male horn base, traits genetically correlated to the trait under selection, showed weak declining trends. There was no temporal trend in genetic value for female horn base circumference, a trait not directly targeted by selective hunting and not genetically correlated with male horn length. The decline in genetic value for male horn length stopped, but was not reversed, when hunting pressure was drastically reduced. Our analysis provides support for the contention that selective hunting led to a reduction in horn length through evolutionary change. It also confirms that after artificial selection stops, recovery through natural selection is slow.					Coltman, David/A-4453-2012; Festa-Bianchet, Marco/AER-0364-2022; Pigeon, Gabriel/AAM-9214-2020	Coltman, David/0000-0002-1268-2307; Pelletier, Fanie/0000-0002-0113-5412; Festa-Bianchet, Marco/0000-0002-2352-3379; 													1752-4571					APR	2016	9	4					521	530		10.1111/eva.12358	http://dx.doi.org/10.1111/eva.12358								27099619					WOS:000374553200001
J	Knell, RJ; Martínez-Ruiz, C				Knell, Robert J.; Martinez-Ruiz, Carlos			Selective harvest focused on sexual signal traits can lead to extinction under directional environmental change	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES												Humans commonly harvest animals based on their expression of secondary sexual traits such as horns or antlers. This selective harvest is thought to have little effect on harvested populations because offtake rates are low and usually only the males are targeted. These arguments do not, however, take the relationship between secondary sexual trait expression and animal condition into account: there is increasing evidence that in many cases the degree of expression of such traits is correlated with an animal's overall well-being, which is partly determined by their genetic match to the environment. Using an individual-based model, we find that when there is directional environmental change, selective harvest of males with the largest secondary sexual traits can lead to extinction in otherwise resilient populations. When harvest is not selective, the males best suited to a new environment gain the majority of matings and beneficial alleles spread rapidly. When these best-adapted males are removed, however, their beneficial alleles are lost, leading to extinction. Given the current changes happening globally, these results suggest that trophy hunting and other cases of selective harvest (such as certain types of insect collection) should be managed with extreme care whenever populations are faced with changing conditions.					Knell, Robert/IVU-7726-2023	Martinez-Ruiz, Carlos/0000-0002-4817-0565													0962-8452	1471-2954				DEC 6	2017	284	1868							20171788	10.1098/rspb.2017.1788	http://dx.doi.org/10.1098/rspb.2017.1788								29187627					WOS:000417194500014
J	Hengeveld, PE; Festa-Bianchet, M				Hengeveld, Pamela E.; Festa-Bianchet, Marco			Harvest Regulations and Artificial Selection on Horn Size in Male Bighorn Sheep	JOURNAL OF WILDLIFE MANAGEMENT												Wild sheep in North America are highly prized by hunters and most harvest regulations restrict legal harvest to males with a specified minimum horn curl. Because reproductive success is skewed toward larger males that are socially dominant, these regulations may select against high-quality, fast-growing males. To evaluate potential selective effects of alternative management strategies, we analyzed horn increment measures of males harvested over 28 yr (1975-2003) in 2 bighorn sheep (Ovis canadensis) ecotypes in British Columbia, Canada. Using mixed-effect models we examined variation in hunter selection for horn size, early horn growth, and male age under different harvest regulations (Full Curl, Three Quarter Curl, Any Ram). Under all regulations, males with the greatest early horn growth were harvested at the youngest ages, before the age at which large horns influence reproductive success. Early growth decreased with harvest age and until >7 yr of age it was greatest in males harvested under Full Curl regulation. Permit type (General vs. Limited Entry Hunt) and hunter origin (British Columbia Resident vs. Non-Resident) had little effect on horn size of harvested males. Full Curl regulations increased the average age of harvested males by <1 yr relative to Three-Quarter Curl regulations. Age-specific horn measures in the California ecotype harvested under Three-Quarter Curl regulations declined over time but we observed no temporal declines in the Rocky Mountain ecotype, primarily harvested under Full Curl regulations. Management strategies that protect some males with greater early horn growth or provide harvest refuges to maintain genetic diversity are likely to reduce potential for negative effects of artificial selection. (C) 2011 The Wildlife Society.					Festa-Bianchet, Marco/AER-0364-2022	Festa-Bianchet, Marco/0000-0002-2352-3379													0022-541X	1937-2817				JAN	2011	75	1					189	197		10.1002/jwmg.14	http://dx.doi.org/10.1002/jwmg.14													WOS:000287937200024
